No;ID Postingan BBC;Teks Postingan (Caption BBC);text;Username;Tanggal Komentar
1;1886790273172460000;"Di sisi lain, dosen-dosen ASN harus berjuang untuk mendapatkan hak tunjangan kinerja mereka yang tidak dianggarkan oleh pemerintah karena Kementerian Pendidikan dipecah jadi tiga.
https://t.co/5acHxVfMOE";mantap nih om;04JoFiKa;Tue Feb 04 15:41:43 +0000 2025
2;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";bodoh aja, mata gk melek, klo mau demo tuh ke dpr hal uup aset baru mewakili rakyat;RMihroji;Fri Feb 21 09:22:53 +0000 2025
3;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";semoga sehat terus biar bisa demo terus sampai 4 tahun, tahu2 lulus kok;_Bedun;Thu Feb 20 17:10:58 +0000 2025
4;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";comment2 nya betul dan riil sih;_Bedun;Thu Feb 20 17:09:39 +0000 2025
5;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";mahisiswa sudah berbisnis;_Bedun;Thu Feb 20 17:08:14 +0000 2025
6;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";oposisi bermain, minta bagian kekuasaan dan duit;_Bedun;Thu Feb 20 17:05:06 +0000 2025
7;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ada tuntutan yg aneh, titipan dr partai itu ya. yg sekaligus mjd donatur;_Bedun;Thu Feb 20 17:04:16 +0000 2025
8;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";telek telek.;1onto;Wed Feb 19 22:41:05 +0000 2025
9;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ayo cari kerja. jangan demo terus;henriguners;Wed Feb 19 10:17:11 +0000 2025
10;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";prabowo tidak takut kalian bro wkwkwk;Haikalotakudang;Wed Feb 19 10:02:42 +0000 2025
